2018-01-06 01:51:44,145 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-01-06 01:51:54,133 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.AcrLifecycleMapping lifecycle mapping for MavenProject: themoviedb:themoviedb:0.0.1-SNAPSHOT @ C:\Users\ricohoho\Documents\GitHub\RicoFilm\themoviedb\pom.xml.
2018-01-06 01:51:57,638 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /themoviedb/appClientModule
2018-01-06 01:51:57,638 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /themoviedb/appClientModule overlaps with sources folder /themoviedb/appClientModule
2018-01-06 01:51:57,653 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /themoviedb/src/test/java
2018-01-06 01:52:00,535 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-06 01:52:00,635 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-01-06 01:52:00,643 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-06 01:52:00,698 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ricohoho\Documents\GitHub\RicoFilm\themoviedb\src\test\resources
2018-01-06 01:52:05,212 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-06 01:52:05,665 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 21 sec
2018-01-06 01:52:05,679 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-01-06 01:52:05,817 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-06 01:52:05,872 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ricohoho\Documents\GitHub\RicoFilm\themoviedb\src\test\resources
2018-01-06 01:52:35,895 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-06 01:52:35,942 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-06 01:52:35,950 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-06 01:52:35,961 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ricohoho\Documents\GitHub\RicoFilm\themoviedb\src\test\resources
